,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,GenusSpecies,MinVolume,MaxVolume,AverageVolume,VolumeUnit,Sources,Notes
6,MTD4953,Pyrococcus abyssi,specific Growth,0.00214403,h^-1,6e-07,s^-1,68.0382,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
7,MTD4953,Pyrococcus abyssi,specific Growth,0.15011300000000002,h^-1,4.17e-05,s^-1,72.0627,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
8,MTD4953,Pyrococcus abyssi,specific Growth,0.392563,h^-1,0.00010905,s^-1,76.9761,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
9,MTD4953,Pyrococcus abyssi,specific Growth,0.573789,h^-1,0.00015939,s^-1,80.1162,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
10,MTD4953,Pyrococcus abyssi,specific Growth,0.977184,h^-1,0.00027144,s^-1,85.1036,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
11,MTD4953,Pyrococcus abyssi,specific Growth,1.20686,h^-1,0.00033524,s^-1,90.0847,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
12,MTD4953,Pyrococcus abyssi,specific Growth,1.2602,h^-1,0.00035006,s^-1,96.0131,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
13,MTD4953,Pyrococcus abyssi,specific Growth,1.03517,h^-1,0.00028755,s^-1,100.16,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
14,MTD4953,Pyrococcus abyssi,specific Growth,0.163938,h^-1,4.55e-05,s^-1,101.491,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00252219.pdf,
15,MTD4962,Methanogenium frigidum,Specific Growth,0.0264026,d^-1,3.1e-07,s^-1,0.0359491,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum,9.05e-19,8.18e-18,4.5400000000000005e-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.216
