,GenusSpecies,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,MinVolume,MaxVolume,VolumeUnit,Shape,Sources,Phylum,Notes
16,Haloarcula vallismortis,0.6,1,3,5,µm,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/40/2/ijs-40-2-209.pdf?expires=1527009437&id=id&accname=guest&checksum=96A42DD1DAE75BB730F115177803E8B6,Euryarchaeota,
17,Halobacterium salinarum,0.5,1,5,10,µm,,,,rod,https://books.google.co.uk/books?id=swciHNNWZDEC&pg=PA118&dq=Halobacterium+cell+size&hl=en&sa=X&ved=0ahUKEwj6ksfXnZrbAhUOe8AKHSmQC2gQ6AEIOTAD#v=onepage&q=Halobacterium%20cell%20size&f=false,Euryarchaeota,pg.118
18,Halobaculum gomorrense,0.5,1,5,10,µm,,,,rod,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.118
19,Halococcus morrhuae,0.8,1.5,,,µm,,,,Spherical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.122
20,Haloferax volcanii,1,3,2,3,µm,,,,cylindrical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.124
21,Halogeometricum borinquense,1,2,1,3,µm,,,,cylindrical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.122
22,Halorubrum saccharovorum,0.5,0.5,2.5,5,µm,,,,rod,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.118
23,Haloterrigena turkmenica,1.5,2,,,µm,,,,Spherical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.126
7,Methanobacterium subterraneum,0.1,1.15,0.6,1.2,µm,,,,rod,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.234
6,Methanocaldococcus jannaschii,1.5,1.5,,,µm,,,,Spherical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.267
5,Methanocaldococcus vulcanius,1,3,,,µm,,,,Spherical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.267
10,Methanoculleus submarinus,0.8,2,,,µm,,,,Spherical,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/7/2141_ijs000233.pdf?expires=1527082919&id=id&accname=guest&checksum=6D3AF1C0ABD8AB386AD26E5D0AF0D092,Euryarchaeota,
2,Methanogenium frigidum,1.2,2.5,,,µm,,,,Spherical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.216
9,Methanohalophilus portucalensis,0.6,2,,,µm,,,,Spherical,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",Euryarchaeota,pg.251
15,Methanopyrus kandleri,0.5,0.7,6,8,µm,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2490668/,Euryarchaeota,
