,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,GenusSpecies,MinVolume,MaxVolume,AverageVolume,VolumeUnit,Sources,Notes
0,MTD2169,Salmonella enterica,Population Growth Rate,0.3995,event / (1 individual * 24 hour),4.62384259259259e-06,event / (individual * second),10.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
1,MTD2169,Salmonella enterica,Population Growth Rate,0.7974,event / (1 individual * 24 hour),9.22916666666667e-06,event / (individual * second),20.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
2,MTD2169,Salmonella enterica,Population Growth Rate,2.1283,event / (1 individual * 24 hour),2.46331018518518e-05,event / (individual * second),30.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
3,MTD2169,Salmonella enterica,Population Growth Rate,2.4104,event / (1 individual * 24 hour),2.7898148148148198e-05,event / (individual * second),34.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
4,MTD2169,Salmonella enterica,Population Growth Rate,2.45,event / (1 individual * 24 hour),2.83564814814815e-05,event / (individual * second),35.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
5,MTD2169,Salmonella enterica,Population Growth Rate,2.4834,event / (1 individual * 24 hour),2.8743055555555604e-05,event / (individual * second),36.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
6,MTD2169,Salmonella enterica,Population Growth Rate,2.4714,event / (1 individual * 24 hour),2.86041666666667e-05,event / (individual * second),37.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
7,MTD2169,Salmonella enterica,Population Growth Rate,2.3414,event / (1 individual * 24 hour),2.7099537037036998e-05,event / (individual * second),39.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
8,MTD2169,Salmonella enterica,Population Growth Rate,1.533,event / (1 individual * 24 hour),1.77430555555556e-05,event / (individual * second),41.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
9,MTD5228,Salmonella typhimurium,Maximum specific growth rate,0.00598004,h-1,1.66e-06,s^-1,8.05524,Celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica,6.799999999999999e-19,7.95e-18,4.32e-18,m^3,Size:http://cmr.asm.org/content/26/2/308.long; Mass:http://www.pnas.org/content/105/44/16994,Size of Salmonella enterica serovar Typhimurium: http://www.salmonella.org/info.html
