,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,GenusSpecies
46728,MTD4941,Thermoplasma acidophila,Root Growth Rate,11.9352,h^-1,3.32e-05,s^-1,62.30114825,Celsius,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,acidophilum,,,Thermoplasma acidophilum
46729,MTD4941,Thermoplasma acidophila,Root Growth Rate,25.1579,h^-1,6.99e-05,s^-1,59.29017739,Celsius,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,acidophilum,,,Thermoplasma acidophilum
46730,MTD4941,Thermoplasma acidophila,Root Growth Rate,17.6145,h^-1,4.8899999999999996e-05,s^-1,56.9091466,Celsius,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,acidophilum,,,Thermoplasma acidophilum
46731,MTD4941,Thermoplasma acidophila,Root Growth Rate,19.6749,h^-1,5.47e-05,s^-1,55.902362100000005,Celsius,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,acidophilum,,,Thermoplasma acidophilum
46732,MTD4941,Thermoplasma acidophila,Root Growth Rate,7.2699,h^-1,2.02e-05,s^-1,49.46706967,Celsius,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,acidophilum,,,Thermoplasma acidophilum
46733,MTD4941,Thermoplasma acidophila,Root Growth Rate,3.24335,h^-1,9.01e-06,s^-1,45.38727682,Celsius,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,acidophilum,,,Thermoplasma acidophilum
46811,MTD4953,Pyrococcus abyssi,specific Growth,0.00214403,h^-1,6e-07,s^-1,68.0382,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46812,MTD4953,Pyrococcus abyssi,specific Growth,0.15011300000000002,h^-1,4.1700000000000004e-05,s^-1,72.0627,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46813,MTD4953,Pyrococcus abyssi,specific Growth,0.392563,h^-1,0.00010905,s^-1,76.9761,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46814,MTD4953,Pyrococcus abyssi,specific Growth,0.573789,h^-1,0.00015939,s^-1,80.1162,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46815,MTD4953,Pyrococcus abyssi,specific Growth,0.977184,h^-1,0.00027144,s^-1,85.1036,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46816,MTD4953,Pyrococcus abyssi,specific Growth,1.20686,h^-1,0.00033524,s^-1,90.0847,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46817,MTD4953,Pyrococcus abyssi,specific Growth,1.2602,h^-1,0.00035006,s^-1,96.0131,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46818,MTD4953,Pyrococcus abyssi,specific Growth,1.0351700000000001,h^-1,0.00028755,s^-1,100.16,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46819,MTD4953,Pyrococcus abyssi,specific Growth,0.163938,h^-1,4.55e-05,s^-1,101.491,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,Pyrococcus abyssi
46913,MTD4962,Methanogenium frigidum,Specific Growth,0.026402600000000002,d^-1,3.1e-07,s^-1,0.0359491,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46914,MTD4962,Methanogenium frigidum,Specific Growth,0.0325671,d^-1,3.8e-07,s^-1,0.0341024,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46915,MTD4962,Methanogenium frigidum,Specific Growth,0.08769930000000001,d^-1,1.02e-06,s^-1,4.05267,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46916,MTD4962,Methanogenium frigidum,Specific Growth,0.0907816,d^-1,1.05e-06,s^-1,4.05175,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46917,MTD4962,Methanogenium frigidum,Specific Growth,0.0990008,d^-1,1.15e-06,s^-1,4.04929,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46918,MTD4962,Methanogenium frigidum,Specific Growth,0.165,d^-1,1.91e-06,s^-1,9.99443,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46919,MTD4962,Methanogenium frigidum,Specific Growth,0.188629,d^-1,2.18e-06,s^-1,9.943489999999999,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46920,MTD4962,Methanogenium frigidum,Specific Growth,0.201473,d^-1,2.33e-06,s^-1,9.9835,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46921,MTD4962,Methanogenium frigidum,Specific Growth,0.23537800000000003,d^-1,2.72e-06,s^-1,9.97335,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46922,MTD4962,Methanogenium frigidum,Specific Growth,0.22890300000000002,d^-1,2.65e-06,s^-1,14.9314,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46923,MTD4962,Methanogenium frigidum,Specific Growth,0.215547,d^-1,2.49e-06,s^-1,14.9354,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46924,MTD4962,Methanogenium frigidum,Specific Growth,0.21195100000000003,d^-1,2.45e-06,s^-1,14.9365,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46925,MTD4962,Methanogenium frigidum,Specific Growth,0.22333699999999998,d^-1,2.58e-06,s^-1,16.9945,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46926,MTD4962,Methanogenium frigidum,Specific Growth,0.129327,d^-1,1.5e-06,s^-1,16.9788,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46927,MTD4962,Methanogenium frigidum,Specific Growth,0.11751199999999999,d^-1,1.36e-06,s^-1,16.9823,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46928,MTD4962,Methanogenium frigidum,Specific Growth,0.11083599999999999,d^-1,1.28e-06,s^-1,17.0282,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46929,MTD4962,Methanogenium frigidum,Specific Growth,0.09447660000000001,d^-1,1.09e-06,s^-1,18.9629,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,Methanogenium frigidum
46957,MTD4967,Thermococcus fumicolans,specific Growth,0.00376069,h^-1,1.04e-06,s^-1,73.5271,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,fumicolans,,,Thermococcus fumicolans
46958,MTD4967,Thermococcus fumicolans,specific Growth,0.1534,h^-1,4.26e-05,s^-1,76.5733,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,fumicolans,,,Thermococcus fumicolans
46959,MTD4967,Thermococcus fumicolans,specific Growth,0.406584,h^-1,0.00011294,s^-1,80.4715,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,fumicolans,,,Thermococcus fumicolans
