,GenusSpecies,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,MinVolume,MaxVolume,VolumeUnit,MinMass,MaxMass,MassUnit,Shape,Sources,Phylum,Notes
0,Acetobacterium carbinolicum,0.8,1.0,1.5,2.5,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.894
1,Acetobacterium fimetarium,0.8,1.1,1.5,2.6,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.894
2,Aeribacillus pallidus,0.8,0.9,2.0,5.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg. 156; Reclassification of Geobacillus as Aeribacillus: https://www.ncbi.nlm.nih.gov/pubmed/19700455 
3,Aeromonas hydrophila,1.0,1.0,3.5,3.5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,proteobacteria,
4,Alkaliphilus transvaalensis,0.4,0.7,3.0,6.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.829
9,Aphanizomenon aphanizomenoides,5.5,7.0,6.0,7.7,um,,,,,,,oval,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,cyanobacteria,Heterocytes cell size. Another ref: https://books.google.co.uk/books?id=Sc4897dfM_MC&pg=PA94&lpg=PA94&dq=Aphanizomenon+aphanizomenoides+cell+diameter&source=bl&ots=n5bGtiJOIK&sig=SqQmHcagACzx3QwHXBB6BGXhZUE&hl=en&sa=X&ved=0ahUKEwjDlOKJ2IfbAhUUWsAKHZZSDUoQ6AEIKDAA#v=onepage&q=Aphanizomenon%20aphanizomenoides%20cell%20diameter&f=false
11,Arthrospira fusiformis,7.3,8.9,113.0,302.0,um,,,,,,,rod,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,cyanobacteria,
13,Bacillus infernus,0.7,0.8,4.0,8.0,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",firmucutes,
15,Bosea eneae,0.5,0.9,1.2,3.0,um,,,,,,,rod,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,proteobacteria,pg. 438; size info of Family: Bradyrhizobiaceae use
16,Brochothrix thermosphacta,0.6,0.75,1.0,2.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.257, Genus: Brochothrix size info used"
17,Caldanaerobacter subterraneus,0.5,0.7,2.0,8.0,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243",firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243"
18,Caldicellulosiruptor obsidiansis,0.2,0.2,2.0,2.0,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/20023107,firmucutes,
19,Caloramator fervidus,0.65,0.75,2.0,2.5,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.836
20,Caloramator indicus,0.6,0.8,10.0,100.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.838"
21,Clostridium perfringens,0.6,2.4,1.3,19.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.799
22,Colwellia demingiae,0.4,0.6,1.5,4.5,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
23,Colwellia hornerae,0.4,0.8,1.5,3.0,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
24,Colwellia psychrerythraea,0.5,0.5,2.5,3.5,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
25,Colwellia psychrotropica,0.4,0.8,1.5,3.0,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 454 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
27,Deferribacter thermophilus,0.3,0.5,1.0,5.0,um,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-2-505,Deferribacteres,
28,Deinococcus geothermalis,1.5,2.0,,,um,,,,,,,Spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023248/,Deinococcus-Thermus,
29,Deinococcus murrayi,1.2,2.0,,,um,,,,,,,Spherical,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=snippet&q=Deinococcus%20geothermalis&f=false,Deinococcus-Thermus,Bergey's Manual of Systematic Bacteriology: Volume 1. pg.401
30,Desulfobacter curvatus,0.5,1.0,1.7,3.5,um,,,,,,,rod,https://link.springer.com/content/pdf/10.1007%2FBF00456706.pdf,proteobacteria,
31,Desulfofaba gelida,3.1,3.1,5.4,6.2,um,,,,,,,rod,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA324&dq=Rhizobiales&hl=en&sa=X&ved=0ahUKEwiW9_PajpDbAhXmLcAKHcd4DjgQ6AEIMTAB#v=snippet&q=Desulfofaba%20gelida&f=false,proteobacteria,"large rods, pg. 975 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria"
32,Desulfofrigus fragile,0.8,0.8,3.2,4.2,um,,,,,,,rod,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,proteobacteria,pg.977
33,Desulfofrigus oceanense,2.1,2.1,4.2,6.1,um,,,,,,,rod,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,proteobacteria,pg.977
34,Desulforhopalus vacuolatus,1.5,1.8,3.0,5.0,um,,,,,,,rod,https://www.researchgate.net/publication/225671825_Desulforpalus_vacuolatus_gen_nov_sp_nov_a_new_moderately_psychrophilic_sulfate-reducing_bacterium_with_gas_vacuoles_isolated_from_a_temperate_estuary,proteobacteria,
35,Desulfotalea arctica,0.7,0.7,1.6,2.7,um,,,,,,,rod,https://bacdive.dsmz.de/search?search=Desulfotalea+arctica&submit=search,proteobacteria,BacDrive meta-Database
36,Desulfotalea psychrophila,0.6,0.6,4.5,7.4,um,,,,,,,rod,https://bacdive.dsmz.de/search?search=Desulfotalea+psychrophila&submit=search,proteobacteria,BacDrive meta-Database
37,Desulfotomaculum putei,1.0,1.1,2.0,5.0,um,,,,,,,oval,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.993, Table 186"
38,Desulfuromonas michiganensis,0.4,0.5,0.8,1.4,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/5/1686_ijs000159.pdf?expires=1526902904&id=id&accname=guest&checksum=44CE48144AF9CF34C5D264FA58575AB5,proteobacteria,
42,Geobacillus caldotenax,0.5,0.5,3.0,5.0,um,,,,,,,oval,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.159 as Bacillus caldotenax. Length based from Geobacillus thermantarcticus - https://bacdive.dsmz.de/strain/1438
43,Geobacillus stearothermophilus,0.6,1.0,2.0,3.5,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.154
44,Glaciecola punicea,0.2,0.4,1.0,5.0,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/48/4/ijs-48-4-1213.pdf?expires=1526915961&id=id&accname=guest&checksum=088CF97C1DF83E51FD1BE8ED3B8D2D3D,proteobacteria,
45,Halanaerobium alcaliphilum,0.8,0.8,3.3,5.0,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1198",firmucutes,pg.1199
46,Halanaerobium lacusrosei,0.4,0.6,2.0,3.0,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200",firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200"
47,Halomonas campisalis,1.0,1.0,3.0,5.0,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/10794143,proteobacteria,
48,Halomonas elongata,0.7,1.0,2.0,3.0,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/51/4/0511457a.pdf?expires=1526917758&id=id&accname=guest&checksum=88E8DCDABD428EA0F6249F0404341F87,proteobacteria,
50,Halomonas subglaciescola,0.5,1.1,1.1,56.5,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/37/1/ijs-37-1-27.pdf?expires=1526918345&id=id&accname=guest&checksum=BCFA940E8C9D2267ACB4B0C4DE28C1DA,proteobacteria,length vary’s dramatically 
51,Halonatronum saccharophilum,0.4,0.6,3.5,10.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1215
52,Hydrogenophaga pseudoflava,0.3,0.6,0.6,5.5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812990/,proteobacteria,
53,Isosphaera pallida,2.5,3.0,,,um,,,,,,,Spherical,https://link.springer.com/article/10.1007/BF00463488,Planctomycetes,
54,Klebsiella oxytoca,0.3,1.0,0.6,6.0,um,,,,,,,rod,http://www.vetbact.org/index.php?artid=156,proteobacteria,
55,Lactobacillus acidophilus,0.6,0.9,1.5,6.0,um,,,,,,,rod,https://books.google.co.uk/books?id=0-VqgLiCPFcC&pg=PA500&dq=Lactobacillus+acidophilus+cell+diameter&hl=en&sa=X&ved=0ahUKEwjr5JO5t4rbAhUSe8AKHc_xDKoQ6AEITzAI#v=snippet&q=L.acidophilus%20&f=false,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.491"
56,Lactobacillus delbrueckii,0.5,0.8,2.0,9.0,um,,,,,,,rod,https://hal.archives-ouvertes.fr/hal-00929612/document,firmucutes,pg.499
57,Lactobacillus paracasei,0.8,1.0,2.0,4.0,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.504",firmucutes,pg.504
58,Lactobacillus rhamnosus,0.8,1.0,2.0,4.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.507
60,Lactococcus piscium,0.5,1.0,,,um,,,,,,,Spherical,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jam.13179,firmucutes,pg.245
61,Listeria monocytogenes,0.4,0.5,0.5,2.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.245
62,Marinithermus hydrothermalis,0.9,1.0,7.5,9.4,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/1/59.pdf?expires=1526922495&id=id&accname=guest&checksum=E4691D32D2EA9A09BB04138504F6D456,Deinococcus-Thermus,
63,Marinitoga piezophila,0.5,0.5,1.0,1.5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/12148648,Thermotogae,
