,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,GenusSpecies
18291,MTD2169,Salmonella enterica,Population Growth Rate,0.3995,event / (1 individual * 24 hour),4.62384259259259e-06,event / (individual * second),10.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18292,MTD2169,Salmonella enterica,Population Growth Rate,0.7974,event / (1 individual * 24 hour),9.22916666666667e-06,event / (individual * second),20.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18293,MTD2169,Salmonella enterica,Population Growth Rate,2.1283,event / (1 individual * 24 hour),2.46331018518518e-05,event / (individual * second),30.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18294,MTD2169,Salmonella enterica,Population Growth Rate,2.4104,event / (1 individual * 24 hour),2.7898148148148198e-05,event / (individual * second),34.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18295,MTD2169,Salmonella enterica,Population Growth Rate,2.45,event / (1 individual * 24 hour),2.83564814814815e-05,event / (individual * second),35.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18296,MTD2169,Salmonella enterica,Population Growth Rate,2.4834,event / (1 individual * 24 hour),2.8743055555555604e-05,event / (individual * second),36.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18297,MTD2169,Salmonella enterica,Population Growth Rate,2.4714,event / (1 individual * 24 hour),2.86041666666667e-05,event / (individual * second),37.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18298,MTD2169,Salmonella enterica,Population Growth Rate,2.3414,event / (1 individual * 24 hour),2.7099537037036998e-05,event / (individual * second),39.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18299,MTD2169,Salmonella enterica,Population Growth Rate,1.5330000000000001,event / (1 individual * 24 hour),1.77430555555556e-05,event / (individual * second),41.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,Salmonella enterica
18301,MTD2170,Escherichia coli,Population Growth Rate,0.5067,event / (1 individual * 24 hour),5.86458333333333e-06,event / (individual * second),10.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18302,MTD2170,Escherichia coli,Population Growth Rate,1.0352,event / (1 individual * 24 hour),1.19814814814815e-05,event / (individual * second),20.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18303,MTD2170,Escherichia coli,Population Growth Rate,1.9546,event / (1 individual * 24 hour),2.26226851851852e-05,event / (individual * second),30.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18304,MTD2170,Escherichia coli,Population Growth Rate,2.3031,event / (1 individual * 24 hour),2.665625e-05,event / (individual * second),34.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18305,MTD2170,Escherichia coli,Population Growth Rate,2.4055,event / (1 individual * 24 hour),2.78414351851852e-05,event / (individual * second),35.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18306,MTD2170,Escherichia coli,Population Growth Rate,2.4525,event / (1 individual * 24 hour),2.8385416666666698e-05,event / (individual * second),36.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18307,MTD2170,Escherichia coli,Population Growth Rate,2.4675,event / (1 individual * 24 hour),2.85590277777778e-05,event / (individual * second),37.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18308,MTD2170,Escherichia coli,Population Growth Rate,2.366,event / (1 individual * 24 hour),2.73842592592593e-05,event / (individual * second),39.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18309,MTD2170,Escherichia coli,Population Growth Rate,2.0955,event / (1 individual * 24 hour),2.4253472222222198e-05,event / (individual * second),41.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18310,MTD2170,Escherichia coli,Population Growth Rate,1.2737,event / (1 individual * 24 hour),1.4741898148148099e-05,event / (individual * second),43.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18311,MTD2170,Escherichia coli,Population Growth Rate,0.4314,event / (1 individual * 24 hour),4.99305555555556e-06,event / (individual * second),45.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,Escherichia coli
18330,MTD2174,Synechocystis minima,Population Growth Rate,0.4016,event / (1 individual * 24 hour),4.64814814814815e-06,event / (individual * second),10.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,minima,,,Synechocystis minima
18331,MTD2174,Synechocystis minima,Population Growth Rate,0.6179,event / (1 individual * 24 hour),7.1516203703703705e-06,event / (individual * second),15.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,minima,,,Synechocystis minima
18332,MTD2174,Synechocystis minima,Population Growth Rate,0.7462,event / (1 individual * 24 hour),8.636574074074072e-06,event / (individual * second),20.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,minima,,,Synechocystis minima
18333,MTD2174,Synechocystis minima,Population Growth Rate,0.9472,event / (1 individual * 24 hour),1.0962962962963e-05,event / (individual * second),25.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,minima,,,Synechocystis minima
18334,MTD2174,Synechocystis minima,Population Growth Rate,1.2977,event / (1 individual * 24 hour),1.50196759259259e-05,event / (individual * second),30.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,minima,,,Synechocystis minima
18335,MTD2174,Synechocystis minima,Population Growth Rate,1.2989,event / (1 individual * 24 hour),1.5033564814814802e-05,event / (individual * second),35.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,minima,,,Synechocystis minima
21279,MTD2578,Microcystis aeruginosa,growth rate,0.1,day^-1,1.15741e-06,s^-1,16.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Microcystis,aeruginosa,6.5e-17,m^3,Microcystis aeruginosa
21280,MTD2578,Microcystis aeruginosa,growth rate,0.25,day^-1,2.8935200000000005e-06,s^-1,20.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Microcystis,aeruginosa,6.5e-17,m^3,Microcystis aeruginosa
21281,MTD2578,Microcystis aeruginosa,growth rate,0.38,day^-1,4.3981499999999996e-06,s^-1,24.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Microcystis,aeruginosa,6.5e-17,m^3,Microcystis aeruginosa
21282,MTD2578,Microcystis aeruginosa,growth rate,0.6,day^-1,6.944439999999999e-06,s^-1,28.0,celsius,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Microcystis,aeruginosa,6.5e-17,m^3,Microcystis aeruginosa
