GenusSpecies,MinSizeValue,MaxSizeValue,SizeUnit,SizeType,MinVolume,MaxVolume,VolumeUnit,MinMass,MaxMass,MassUnit,Shape,Sources,Phylum,Notes
Acetobacterium carbinolicum,1.5,2.5,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.894
Acetobacterium carbinolicum,0.8,1,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.894
Acetobacterium fimetarium,1.5,2.6,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.894
Acetobacterium fimetarium,0.8,1.1,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.894
Aeribacillus pallidus,2,5,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg. 156
Aeribacillus pallidus,0.8,0.9,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,Reclassification of Geobacillus as Aeribacillus: https://www.ncbi.nlm.nih.gov/pubmed/19700455 
Aeromonas hydrophila,3.5,3.5,um,Length,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,proteobacteria,
Aeromonas hydrophila,1,1,um,Width,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,proteobacteria,
Alkaliphilus transvaalensis,3,6,um,Length,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.829
Alkaliphilus transvaalensis,0.4,0.7,um,Width,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.829
Anacystis incerta,,,,Volume,5E-19,5E-19,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Anacystis incerta,,,,Volume,1E-17,1E-17,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Anacystis incerta,,,,Volume,1.05E-16,1.05E-16,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Anacystis incerta,,,,Volume,2.6E-17,2.6E-17,m^3,,,,Spherical,Saujanya’s phytoplankton data,cyanobacteria,Average mean cell volume
Aphanizomenon aphanizomenoides,4,5,um,Width,,,,,,,rod,https://books.google.co.uk/books?id=Sc4897dfM_MC&pg=PA94&lpg=PA94&dq=Aphanizomenon+aphanizomenoides+cell+diameter&source=bl&ots=n5bGtiJOIK&sig=SqQmHcagACzx3QwHXBB6BGXhZUE&hl=en&sa=X&ved=0ahUKEwjDlOKJ2IfbAhUUWsAKHZZSDUoQ6AEIKDAA#v=onepage&q=Aphanizomenon%20aphanizomenoides%20cell%20diameter&f=false,cyanobacteria,pg.94 of citation
Aphanizomenon flosaquae,,,,Volume,1.96E-15,1.96E-15,m^3,,,,rod,Saujanya’s phytoplankton data,cyanobacteria,
Arthrospira fusiformis,113,302,um,Length,,,,,,,rod,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,cyanobacteria,
Arthrospira fusiformis,24.7,48,um,Sprial Width,,,,,,,rod,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,cyanobacteria,
Arthrospira fusiformis,7.3,8.9,um,Width,,,,,,,rod,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,cyanobacteria,
Bacillus cereus,,,,mass,,,,3.7E-12,3.7E-12,g,rod,http://www.pnas.org/content/105/44/16994,firmucutes,
Bacillus infernus,4,8,um,Length,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",firmucutes,
Bacillus infernus,0.7,0.8,um,Width,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",firmucutes,
Bacillus megaterium,,,,mass,,,,7E-12,7E-12,g,rod,http://www.pnas.org/content/105/44/16994,firmucutes,
Bosea eneae,1.2,3,um,Length,,,,,,,rod,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,proteobacteria,pg. 438
