,Unnamed: 0,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,StandardisedTraits,uniqueID,GenusSpecies
9,17847,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,0.0771,milligram (body mass - wet) / (1 individual * 24 hour),8.923611111111107e-13,kilogram / (individual * second),5.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,8.923611111111109e-13,1,Caulerpa serrulata
10,17848,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,0.9247,milligram (body mass - wet) / (1 individual * 24 hour),1.0702546296296301e-11,kilogram / (individual * second),10.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,1.0702546296296296e-11,1,Caulerpa serrulata
11,17849,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,1.8761,milligram (body mass - wet) / (1 individual * 24 hour),2.1714120370370396e-11,kilogram / (individual * second),15.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,2.171412037037037e-11,1,Caulerpa serrulata
12,17850,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,3.503,milligram (body mass - wet) / (1 individual * 24 hour),4.05439814814815e-11,kilogram / (individual * second),20.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,4.054398148148148e-11,1,Caulerpa serrulata
13,17851,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,4.6104,milligram (body mass - wet) / (1 individual * 24 hour),5.33611111111111e-11,kilogram / (individual * second),25.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,5.336111111111111e-11,1,Caulerpa serrulata
14,17852,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,5.0078,milligram (body mass - wet) / (1 individual * 24 hour),5.79606481481481e-11,kilogram / (individual * second),30.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,5.7960648148148143e-11,1,Caulerpa serrulata
15,17853,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,3.0675,milligram (body mass - wet) / (1 individual * 24 hour),3.55034722222222e-11,kilogram / (individual * second),35.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,3.550347222222222e-11,1,Caulerpa serrulata
31,18311,MTD2171,Chlorella vulgaris,Population Growth Rate,0.4181,event / (1 individual * 24 hour),4.839120370370369e-06,event / (individual * second),10.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,4.839120370370371e-06,2,Chlorella vulgaris
32,18312,MTD2171,Chlorella vulgaris,Population Growth Rate,0.772,event / (1 individual * 24 hour),8.935185185185181e-06,event / (individual * second),15.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,8.935185185185185e-06,2,Chlorella vulgaris
33,18313,MTD2171,Chlorella vulgaris,Population Growth Rate,0.9978,event / (1 individual * 24 hour),1.1548611111111099e-05,event / (individual * second),20.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.1548611111111114e-05,2,Chlorella vulgaris
34,18314,MTD2171,Chlorella vulgaris,Population Growth Rate,1.1201,event / (1 individual * 24 hour),1.29641203703704e-05,event / (individual * second),25.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.2964120370370372e-05,2,Chlorella vulgaris
35,18315,MTD2171,Chlorella vulgaris,Population Growth Rate,1.2824,event / (1 individual * 24 hour),1.4842592592592599e-05,event / (individual * second),30.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.4842592592592594e-05,2,Chlorella vulgaris
36,18316,MTD2171,Chlorella vulgaris,Population Growth Rate,1.1482,event / (1 individual * 24 hour),1.32893518518519e-05,event / (individual * second),35.0,celsius,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,vulgaris,,,1.3289351851851853e-05,2,Chlorella vulgaris
