,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,StandardisedTraits
17197,MTD2056,Paraphysomonas imperforata,Population Growth Rate,1.37,event / (1 individual * 24 hour),1.58564814814815e-05,event / (individual * second),14.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,7.2199999999999995e-12,kilogram,1.5856481481481484e-05
17198,MTD2056,Paraphysomonas imperforata,Population Growth Rate,1.92,event / (1 individual * 24 hour),2.22222222222222e-05,event / (individual * second),18.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,7.2199999999999995e-12,kilogram,2.222222222222222e-05
17199,MTD2056,Paraphysomonas imperforata,Population Growth Rate,2.52,event / (1 individual * 24 hour),2.91666666666667e-05,event / (individual * second),22.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,7.2199999999999995e-12,kilogram,2.9166666666666666e-05
17200,MTD2056,Paraphysomonas imperforata,Population Growth Rate,4.04,event / (1 individual * 24 hour),4.6759259259259295e-05,event / (individual * second),26.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,7.2199999999999995e-12,kilogram,4.675925925925926e-05
17653,MTD2073,Paraphysomonas imperforata,Population Growth Rate,0.3743,event / (1 individual * 24 hour),4.33217592592593e-06,event / (individual * second),0.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,,4.332175925925926e-06
17654,MTD2073,Paraphysomonas imperforata,Population Growth Rate,1.4727,event / (1 individual * 24 hour),1.7045138888888902e-05,event / (individual * second),5.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,,1.704513888888889e-05
17655,MTD2073,Paraphysomonas imperforata,Population Growth Rate,2.197,event / (1 individual * 24 hour),2.5428240740740698e-05,event / (individual * second),10.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,,2.5428240740740742e-05
17656,MTD2073,Paraphysomonas imperforata,Population Growth Rate,4.1421,event / (1 individual * 24 hour),4.79409722222222e-05,event / (individual * second),15.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,,4.794097222222222e-05
17657,MTD2073,Paraphysomonas imperforata,Population Growth Rate,3.984,event / (1 individual * 24 hour),4.61111111111111e-05,event / (individual * second),20.0,celsius,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,,4.611111111111111e-05
17847,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,0.0771,milligram (body mass - wet) / (1 individual * 24 hour),8.923611111111109e-13,kilogram / (individual * second),5.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,8.92361111111111e-13
17848,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,0.9247,milligram (body mass - wet) / (1 individual * 24 hour),1.0702546296296301e-11,kilogram / (individual * second),10.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,1.0702546296296295e-11
17849,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,1.8761,milligram (body mass - wet) / (1 individual * 24 hour),2.1714120370370396e-11,kilogram / (individual * second),15.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,2.171412037037037e-11
17850,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,3.503,milligram (body mass - wet) / (1 individual * 24 hour),4.05439814814815e-11,kilogram / (individual * second),20.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,4.054398148148148e-11
17851,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,4.6104,milligram (body mass - wet) / (1 individual * 24 hour),5.33611111111111e-11,kilogram / (individual * second),25.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,5.336111111111111e-11
17852,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,5.0078,milligram (body mass - wet) / (1 individual * 24 hour),5.79606481481481e-11,kilogram / (individual * second),30.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,5.7960648148148143e-11
17853,MTD2100,Caulerpa serrulata,Individual Mass Growth Rate,3.0675,milligram (body mass - wet) / (1 individual * 24 hour),3.55034722222222e-11,kilogram / (individual * second),35.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Bryopsidales,Caulerpaceae,Caulerpa,serrulata,,,3.550347222222222e-11
18087,MTD2136,Selenastrum minutum,Population Growth Rate,0.72,event / (1 individual * 24 hour),8.33333333333333e-06,event / (individual * second),15.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,minutum,,,8.333333333333334e-06
18088,MTD2136,Selenastrum minutum,Population Growth Rate,0.98,event / (1 individual * 24 hour),1.13425925925926e-05,event / (individual * second),20.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,minutum,,,1.1342592592592592e-05
18089,MTD2136,Selenastrum minutum,Population Growth Rate,1.36,event / (1 individual * 24 hour),1.57407407407407e-05,event / (individual * second),25.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,minutum,,,1.574074074074074e-05
18090,MTD2136,Selenastrum minutum,Population Growth Rate,1.55,event / (1 individual * 24 hour),1.79398148148148e-05,event / (individual * second),30.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,minutum,,,1.7939814814814815e-05
18091,MTD2136,Selenastrum minutum,Population Growth Rate,1.73,event / (1 individual * 24 hour),2.00231481481481e-05,event / (individual * second),35.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,minutum,,,2.002314814814815e-05
18092,MTD2137,Coelastrum microporum,Population Growth Rate,0.47,event / (1 individual * 24 hour),5.43981481481481e-06,event / (individual * second),15.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Coelastrum,microporum,,,5.439814814814814e-06
18093,MTD2137,Coelastrum microporum,Population Growth Rate,0.75,event / (1 individual * 24 hour),8.68055555555556e-06,event / (individual * second),20.0,celsius,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Coelastrum,microporum,,,8.680555555555556e-06
