,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species,Forma,AuthorComments,Author,SpeciesID,Carbon,Biovolume,CellVolCubicMeters,GenusSpecies
0,Diatom,Chromista,Haptophyta,Haptophyta incertae sedis,,Ceratolithaceae,Ceratolithus,cristatus,,,Derek S.Harbour,1,637.9157027409329,4188.79020478639,4.19e-15,Ceratolithus cristatus
1,Diatom,Chromista,Haptophyta,Prymnesiophyceae,Syracosphaerales,Syracosphaeraceae,Syracosphaera,anthos,,,Derek S.Harbour,2,90.0,521.529963894225,5.22e-16,Syracosphaera anthos
35,Ciliates,Chromista,Ciliophora,Oligohymenophorea,Pleuronematida,Cyclidiidae,Cyclidium,oligotrichum,,20-30μm,Derek S.Harbour,22,1196.87702222609,8181.230868723409,8.18e-15,Cyclidium oligotrichum
37,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,arietinum,,,Derek S.Harbour,24,4288.0,31797.9189916851,3.18e-14,Ceratium arietinum
38,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,azoricum,,,Derek S.Harbour,25,1028.0,6958.984459662571,6.96e-15,Ceratium azoricum
39,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,boehmii,,,Derek S.Harbour,26,1500.0,10402.0361969613,1.04e-14,Ceratium boehmii
40,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,candelabrum,,,Derek S.Harbour,27,2705.0,19477.7886173359,1.95e-14,Ceratium candelabrum
41,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,candelabrum,,,Derek S.Harbour,27,6377.0,48502.2790273533,4.85e-14,Ceratium candelabrum
42,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,carriense,,,Derek S.Harbour,28,4288.0,31797.9189916851,3.18e-14,Ceratium carriense
43,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,carriense,,,Derek S.Harbour,28,6562.0,50000.5415971783,5.00e-14,Ceratium carriense
44,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,declinatum,,,Derek S.Harbour,29,4102.87943161641,30339.562482834303,3.03e-14,Ceratium declinatum
45,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,extensum,,,Derek S.Harbour,30,2116.04930867439,15000.0,1.50e-14,Ceratium extensum
46,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,falcatum,,,Derek S.Harbour,31,2116.04930867439,15000.0,1.50e-14,Ceratium falcatum
47,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,furca,,,Derek S.Harbour,32,2705.0,19477.7886173359,1.95e-14,Ceratium furca
48,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,furca,,,Derek S.Harbour,32,3869.0798358870898,28503.7368,2.85e-14,Ceratium furca
49,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,furca,,,Derek S.Harbour,32,4566.57066007546,34000.0,3.40e-14,Ceratium furca
50,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,furca,,,Derek S.Harbour,32,4567.0,34003.4006619345,3.40e-14,Ceratium furca
51,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,fusus,,,Derek S.Harbour,33,1445.0,9996.76336098283,1.00e-14,Ceratium fusus
52,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,geniculatum,,,Derek S.Harbour,34,2116.04930867439,15000.0,1.50e-14,Ceratium geniculatum
53,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,gibberum,,,Derek S.Harbour,35,8205.75886323281,63424.0527847956,6.34e-14,Ceratium gibberum
54,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,hexacanthum,,,Derek S.Harbour,36,10686.0,83998.4857937441,8.40e-14,Ceratium hexacanthum
55,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,horridum,,,Derek S.Harbour,37,1528.0,10608.723804501,1.06e-14,Ceratium horridum
56,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,horridum,,,Derek S.Harbour,37,4692.71264914473,34999.999999999905,3.50e-14,Ceratium horridum
57,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,horridum,,,Derek S.Harbour,37,6562.0,50000.5415971783,5.00e-14,Ceratium horridum
58,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,limulus,,,Derek S.Harbour,38,8205.75886323281,63424.0527847956,6.34e-14,Ceratium limulus
