"ID","MinTemp","MaxTemp"
"1",283.15,314.15
"2",283.15,318.15
"3",NA,NA
"4",278.15,296.15
"5",278.15,296.15
"6",NA,NA
"7",284.15,301.15
"8",290.15,304.15
"9",NA,NA
"10",287.15,300.15
"11",291.15,302.15
"12",NA,NA
"13",288.15,299.15
"14",293.15,307.15
"15",281.15,298.15
"16",293.15,308.15
"17",293.15,308.15
"18",293.15,308.15
"19",288.15,313.15
"20",288.15,313.15
"21",288.15,313.15
"22",288.15,313.15
"23",288.15,308.15
"24",NA,NA
"25",288.15,308.15
"26",283.15,303.15
"27",283.15,303.15
"28",283.15,303.15
"29",288.15,308.15
"30",281.15,305.15
"31",294.15,307.15
"32",294.15,307.15
"33",289.15,311.15
"34",283.15,313.15
"35",281.15,305.15
"36",NA,NA
"37",284.15,305.15
"38",278.15,303.15
"39",278.15,303.15
"40",283.15,308.15
"41",283.15,308.15
"42",NA,NA
"43",278.15,308.15
"44",287.15,310.15
"45",NA,NA
"46",NA,NA
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",298.15,304.15
"52",293.15,313.15
"53",293.15,313.15
"54",NA,NA
"55",291.15,305.15
"56",NA,NA
"57",297.15,305.15
"58",297.15,305.15
"59",303.2156,324.2022
"60",283.1722,314.2105
"61",308.1598,324.1514
"62",NA,NA
"63",279.20125,315.1573
"64",NA,NA
"65",NA,NA
"66",293.1524,333.3496
"67",NA,NA
"68",273.370327,289.0775
"69",276.3521,290.2194
"70",275.20764,289.8734
"71",275.21921,297.7475
"72",274.15234,292.0468
"73",NA,NA
"74",NA,NA
"75",293.3826,323.2663
"76",293.2746,318.2129
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",313.1251,346.1989
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",301.0234,353.2868
"91",313.09193945,343.07788897
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",276.80631,353.2231
"97",NA,NA
"98",NA,NA
"99",275.487406093,299.5554597
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",278.18903,310.0113
"104",NA,NA
"105",293.45909034,328.39320489
"106",293.31620367,328.73325926
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",313.1337,358.1988
"112",293.396,323.1875
"113",283.3264,324.1948
"114",283.3264,318.496
"115",NA,NA
"116",NA,NA
"117",277.15984,289.1663
"118",NA,NA
"119",NA,NA
"120",277.10476,316.1987
"121",NA,NA
"122",277.14389,316.1583
"123",NA,NA
"124",281.20524,321.136
"125",283.2626,313.9517
"126",281.24633,317.2202
"127",281.19822,319.1332
"128",NA,NA
"129",286.1881,324.1098
"130",289.1253,324.1113
"131",272.496967,297.5028
"132",NA,NA
"133",NA,NA
"134",273.1043126,302.0906
"135",NA,NA
"136",NA,NA
"137",279.04888,323.0798
"138",280.14078,319.2007
"139",281.19582,318.15
"140",281.16887,318.15
"141",281.19582,318.177
"142",281.14191,318.123
"143",NA,NA
"144",283.2388,320.2477
"145",283.2931,317.2524
"146",NA,NA
"147",281.20461,310.2082
"148",275.12535,316.2288
"149",275.09829,315.1735
"150",274.227,303.185
"151",274.985,298.476
"152",NA,NA
"153",271.33845,288.7142
"154",271.24456,300.1271
"155",271.27938,283.13555
"156",271.24799,292.2388
"157",271.47252,298.9773
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",268.897,298.897
"162",274.784,300.821
"163",267.515,300.254
"164",269.783,301.501
"165",272.129,291.84
"166",275.168,301.754
"167",279.26,315.96
"168",279.33,319.73
"169",279.36,319.33
"170",276.56,317.46
"171",276.56,317.46
"172",273.46,293.36
"173",272.95,292.65
"174",273.55,294.05
"175",272.9,295.55
"176",273.7,312.1
"177",281.6,312
"178",280.65,318.95
"179",272.56,308.56
"180",278.56,317.86
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",291.79,319.435
"187",290.36,322.36
"188",NA,NA
"189",289.36,321.66
"190",294.43,318.91
"191",NA,NA
"192",NA,NA
"193",283.56,320.36
"194",280.76,320.56
"195",282.06,319.66
"196",282.06,319.06
"197",281.86,318.56
"198",281.16,317.96
"199",NA,NA
"200",280.86,319.96
"201",NA,NA
"202",276.8,298.1
"203",275,296.3
"204",285.25461827,315.66752633
"205",298.94383144,313.84265812
"206",NA,NA
"207",290.83971242,316.12656443
"208",NA,NA
"209",283.67587195,309.45955982
"210",275.029771973,309.64353836
"211",277.22256259,311.52939124
"212",282.943861109,312.52734614
"213",291.57919291,315.26546929
"214",282.089834329,312.56837433
"215",285.516056,312.53418343
"216",282.650355857,305.54783199
"217",285.82698321,309.41072727
"218",286.78440122,307.94719322
"219",285.000969,307.62699611
"220",NA,NA
"221",285.7828736,299.80872204
"222",281.664751346,299.55366504
"223",280.531663609,300.97093223
"224",281.151596941,300.13626186
"225",NA,NA
"226",NA,NA
"227",NA,NA
"228",NA,NA
"229",275.16452,286.2716
"230",279.1938,333.0624
