"ID","MinTemp","MaxTemp"
"1",283.15,308.15
"2",283.15,308.15
"3",283.15,308.15
"4",288.15,300.15
"5",NA,NA
"6",NA,NA
"7",292.15,308.15
"8",277.15,303.15
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",286.15,298.15
"15",NA,NA
"16",272.15,291.15
"17",272.15,291.15
"18",283.15,313.15
"19",NA,NA
"20",282.15,295.15
"21",282.15,295.15
"22",283.15,303.15
"23",283.15,303.15
"24",285.65,303.15
"25",285.65,303.15
"26",285.65,303.15
"27",283.15,303.15
"28",NA,NA
"29",273.15,279.15
"30",271.65,289.15
"31",NA,NA
"32",283.15,303.15
"33",275.15,298.15
"34",NA,NA
"35",282.15,303.15
"36",283.15,308.15
"37",275.15,285.15
"38",275.15,298.15
"39",273.15,303.15
"40",282.15,298.15
"41",NA,NA
"42",279.15,300.15
"43",279.15,297.15
"44",279.15,300.15
"45",NA,NA
"46",285.15,300.15
"47",281.15,298.15
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",273.15,282.15
"52",273.15,280.15
"53",NA,NA
"54",285.15,300.15
"55",NA,NA
"56",NA,NA
"57",286.15,300.65
"58",273.15,283.15
"59",277.15,303.15
"60",NA,NA
"61",NA,NA
"62",290.15,300.15
"63",286.15,303.15
"64",NA,NA
"65",289.15,303.15
"66",277.15,305.15
"67",282.15,308.15
"68",NA,NA
"69",277.15,298.15
"70",NA,NA
"71",271.55,285.15
"72",277.15,298.15
"73",NA,NA
"74",278.15,303.15
"75",292.15,302.15
"76",292.15,304.15
"77",287.15,298.15
"78",281.15,298.15
"79",294.15,304.15
"80",NA,NA
"81",NA,NA
"82",296.15,306.15
"83",281.15,298.15
"84",NA,NA
"85",281.15,293.15
"86",274.15,281.15
"87",278.15,298.15
"88",271.65,283.15
"89",295.15,307.15
"90",282.15,303.15
"91",285.65,304.15
"92",287.15,308.15
"93",275.15,296.65
"94",NA,NA
"95",278.15,303.15
"96",NA,NA
"97",283.15,308.15
"98",285.65,307.15
"99",288.15,303.15
"100",283.15,303.15
"101",283.15,303.15
"102",283.15,303.15
"103",NA,NA
"104",283.15,303.15
"105",NA,NA
"106",283.15,303.15
"107",283.15,303.15
"108",274.15,280.15
"109",287.65,304.15
"110",279.15,303.15
"111",NA,NA
"112",272.15,288.15
"113",273.15,283.15
"114",285.15,297.15
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",286.15,302.15
"120",NA,NA
"121",293.15,308.15
"122",293.15,308.15
"123",NA,NA
"124",299.15,318.15
"125",281.15,307.15
"126",NA,NA
"127",285.45,303.55
"128",285.15,303.15
"129",277.65,290.15
"130",274.15,298.85
"131",273.75,308.15
"132",NA,NA
"133",273.75,310.15
"134",273.75,310.15
"135",NA,NA
"136",273.75,308.15
"137",278.15,308.15
"138",274.15,308.15
"139",274.15,308.15
"140",274.15,308.15
"141",274.15,308.15
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",274.15,308.15
"146",NA,NA
"147",278.15,303.15
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",274.15,308.15
"152",NA,NA
"153",NA,NA
"154",274.15,303.15
"155",274.15,308.15
"156",281.15,293.15
"157",NA,NA
"158",281.15,305.15
"159",286.15,306.65
"160",285.15,301.15
"161",289.15,317.15
"162",278.15,308.15
"163",285.15,300.15
"164",NA,NA
"165",271.65,285.15
"166",NA,NA
"167",283.15,298.15
"168",283.15,298.15
"169",NA,NA
"170",283.15,298.15
"171",290.15,302.15
"172",290.15,302.15
"173",NA,NA
"174",275.95,297.65
"175",NA,NA
"176",285.65,304.15
"177",NA,NA
"178",287.15,306.15
"179",284.15,306.15
"180",284.15,300.15
"181",284.15,310.15
"182",287.15,307.15
"183",287.15,309.15
"184",NA,NA
"185",278.15,300.15
"186",NA,NA
"187",NA,NA
"188",293.15,308.15
"189",NA,NA
"190",278.15,303.15
"191",283.15,305.15
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",277.15,298.15
"197",277.15,298.15
"198",277.15,290.65
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",283.15,305.65
"204",283.15,298.15
"205",288.15,303.15
"206",288.15,306.15
"207",NA,NA
"208",NA,NA
"209",274.15,280.15
"210",NA,NA
"211",278.15,301.15
