index,GenusSpecies,width,length,SizeUnit,Shape,Phylum,Sources,Volume
0,Acetobacterium carbinolicum,0.8,1.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
0,Acetobacterium carbinolicum,1.0,2.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
1,Acetobacterium fimetarium,1.1,2.6,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
1,Acetobacterium fimetarium,0.8,1.5,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
2,Aeribacillus pallidus,0.8,2.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
2,Aeribacillus pallidus,0.9,5.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
3,Aeromonas hydrophila,1.0,3.5,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,
3,Aeromonas hydrophila,1.0,3.5,um,rod,proteobacteria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,
4,Alkaliphilus transvaalensis,0.4,3.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
4,Alkaliphilus transvaalensis,0.7,6.0,um,rod,firmucutes,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,
9,Aphanizomenon aphanizomenoides,7.0,7.7,um,oval,cyanobacteria,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,
9,Aphanizomenon aphanizomenoides,5.5,6.0,um,oval,cyanobacteria,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,
11,Arthrospira fusiformis,8.9,302.0,um,rod,cyanobacteria,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,
11,Arthrospira fusiformis,7.3,113.0,um,rod,cyanobacteria,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,
13,Bacillus infernus,0.8,8.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",
13,Bacillus infernus,0.7,4.0,um,rod,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",
15,Bosea eneae,0.5,1.2,um,rod,proteobacteria,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,
