GenusSpecies,ConPhylum,AverageVolume,HighTemp_GR
Salmonella enterica,Other,-17.3645162532,-3.9963928392
Escherichia coli,Other,-17.8996294549,-3.4054180459
Microcystis aeruginosa,Cyanobacteria,-14.4814860601,-5.1682360477
Planktothrix agardhii,Cyanobacteria,-14.8356471442,-5.1948333455
Trichodesmium erythraeum,Cyanobacteria,-15.0222763947,-5.909572393
Aphanizomenon gracile,Cyanobacteria,-15.2111248842,-5.0015449215
Synechococcus elongatus,Cyanobacteria,-17.3979400087,-5.0213481664
Cylindrospermopsis raciborskii,Cyanobacteria,-15.1505805862,-5.2828137751
Sphaerospermopsis aphanizomenoides,Cyanobacteria,-16.2612194415,-5.4087617285
Anabaena bergii,Cyanobacteria,-16.2218487496,-5.669566483
Aphanizomenon ovalisporum,Cyanobacteria,-15.7772835289,-5.3969108005
Anabaena spiroides,Cyanobacteria,-15.077274542,-5.3579937316
Trichormus variabilis,Cyanobacteria,-15.4100503987,-4.8886207767
Microcystis ichthyoblabe,Cyanobacteria,-17.0381045263,-4.7990631969
Aphanizomenon aphanizomenoides,Cyanobacteria,-15.8356471442,-4.7969980358
Spirulina platensis,Cyanobacteria,-14.3914739664,-5.774889563
Arthrospira fusiformis,Cyanobacteria,-13.9355420108,-5.7488552644
Streptococcus salivarius,Other,-18.4534573365,-3.7728538582
Lactococcus lactis,Other,-18.530177984,-3.6597617207
Lactobacillus paracasei,Other,-17.7258421507,-4.0866063176
Sulfobacillus thermotolerans,Other,-17.5800442515,-4.1592614014
Halanaerobium lacusrosei,Other,-18.2898826349,-4.4112435239
Pseudoxanthomonas broegbernensis,Other,-18.5287082889,-4.2876375568
Bacillus cereus,Other,-17.4377071355,-3.2709001168
Aeribacillus pallidus,Other,-17.714442691,-5.2524254486
Psychrobacter muriicola,Other,-18.1630432629,-5.3034742263
Bacillus megaterium,Other,-17.311580178,-3.693996722
Alkaliphilus transvaalensis,Other,-17.8894102897,-3.8977058048
Marinobacter alkaliphilus,Other,-17.8996294549,-3.6056978516
Listeria monocytogenes,Other,-18.6925039621,-3.5200835356
Clostridium perfringens,Other,-16.3840499483,-3.564807653
Lactobacillus rhamnosus,Other,-17.7258421507,-3.7821875496
Aeromonas hydrophila,Other,-17.6038006529,-3.2975978804
Pseudomonas fluorescens,Other,-17.7189666328,-3.5744335391
Klebsiella oxytoca,Other,-17.6497519817,-3.1294413
Streptococcus thermophilus,Other,-18.5512936801,-3.4783227225
Halomonas halodenitrificans,Other,-18.4461169734,-4.206414692
Halomonas elongata,Other,-17.8569851997,-3.8959652618
Staphylococcus aureus,Other,-18.0381045263,-3.4710712071
Halonatronum saccharophilum,Other,-17.7958800173,-4.432919555
