"GenusSpecies","AverageVolume","LowTemp_GR"
"Methanobacterium subterraneum",-18.3705904008973,-4.50441556089586
"Haloarcula vallismortis",-17.6516951369518,-4.07802768775653
"Halobacterium salinarum",-17.369572124975,-4.10269065828894
"Halobaculum gomorrense",-17.369572124975,-4.05467518060566
"Halococcus morrhuae",-17.9913998282381,-4.08271677722127
"Haloferax volcanii",-16.9430951486635,-4.03184208150786
"Halogeometricum borinquense",-17.2915790998653,-4.06557700901885
"Halorubrum saccharovorum",-18.1524273408579,-4.10282761120007
"Haloterrigena turkmenica",-17.5257837359237,-4.01483120254334
"Natrialba asiatica",-18.2549252084179,-4.06830956534125
"Natrinema pellirubrum",-17.8096683018297,-4.06754150441599
"Natronobacterium gregoryi",-17.4190750243244,-4.09540052171043
"Natronococcus occultus",-17.6270879970299,-4.14629417297302
"Natronomonas pharaonis",-17.9507819773298,-4.14937542572213
