"GenusSpecies","AverageVolume","MidTemp_GR"
"Methanobacterium subterraneum",-18.3705904008973,-4.59334292359811
"Methanothermococcus okinawensis",-17.9393021596464,-4.23229638011257
"Haloarcula vallismortis",-17.6516951369518,-3.83796520447865
"Halobacterium salinarum",-17.369572124975,-3.81995750175031
"Halobaculum gomorrense",-17.369572124975,-3.80364022468636
"Halococcus morrhuae",-17.9913998282381,-3.7920580946475
"Haloferax volcanii",-16.9430951486635,-3.75354995771748
"Halogeometricum borinquense",-17.2915790998653,-3.77790274542339
"Halorubrum saccharovorum",-18.1524273408579,-3.84597097855211
"Haloterrigena turkmenica",-17.5257837359237,-3.82805510145792
"Natrialba asiatica",-18.2549252084179,-3.82450109859512
"Natrinema pellirubrum",-17.8096683018297,-3.87284104359373
"Natronobacterium gregoryi",-17.4190750243244,-3.79719961481305
"Natronococcus occultus",-17.6270879970299,-3.85426171310893
"Natronomonas pharaonis",-17.9507819773298,-3.78693595177772
