"","ID","AIC_cubic","AIC_schoolfield","AIC_diff_cubic","AIC_diff_sf","wi_cubic","wi_sf","weighted_sum"
"1",1,-53.9593089843534,NA,NA,NA,NA,NA,NA
"2",2,-5.35881648970401,NA,NA,NA,NA,NA,NA
"3",3,-87.2223062315911,NA,NA,NA,NA,NA,NA
"4",4,-80.0147556253703,NA,NA,NA,NA,NA,NA
"5",5,-81.1537041668781,-79.1568915199273,0,1.99681264695084,0.730745127450935,0.269254872549065,1
"6",6,-60.9228287705743,NA,NA,NA,NA,NA,NA
"7",7,-52.7552174053027,NA,NA,NA,NA,NA,NA
"8",8,6.67993444453768,11.6854328004175,0,5.00549835587978,0.924334322982083,0.075665677017917,1
"9",9,-18.1304419001481,-16.6492217805389,0,1.48122011960924,0.677129245113731,0.322870754886269,1
"10",10,-118.513094042415,-115.048727920643,0,3.46436612177222,0.849691444721593,0.150308555278407,1
"11",11,-123.782340043749,-94.7565173545154,0,29.0258226892341,0.999999502122534,4.97877465956076e-07,1
"12",12,-117.283381651678,-111.742786081941,0,5.54059556973769,0.941049508419238,0.0589504915807622,1
"13",13,-140.10427647423,NA,NA,NA,NA,NA,NA
"14",14,-152.980429332384,-145.327195021388,0,7.65323431099606,0.978681210785616,0.0213187892143841,1
"15",15,-129.34746251606,NA,NA,NA,NA,NA,NA
"16",16,-173.146426609479,NA,NA,NA,NA,NA,NA
"17",17,-167.521255040367,-163.121303135394,0,4.39995190497268,0.900247351384891,0.0997526486151094,1
"18",18,-149.027639634179,-135.71042330443,0,13.3172163297484,0.99871871304604,0.00128128695396031,1
"19",19,-215.269816069419,-193.797545800282,0,21.4722702691362,0.999978255655977,2.17443440233939e-05,1
"20",20,-212.475596852431,-179.038027498866,0,33.4375693535647,0.999999945156641,5.48433590872349e-08,1
"21",21,-165.282328436353,-160.222960890873,0,5.05936754548023,0.926196740172966,0.0738032598270344,1
"22",22,-187.356424301799,-164.961145094461,0,22.3952792073382,0.999986293677155,1.3706322844723e-05,1
"23",23,-172.796006970481,-159.131841095319,0,13.6641658751625,0.998922553043389,0.00107744695661129,1
"24",24,-135.818367859246,NA,NA,NA,NA,NA,NA
"25",25,-144.202810563286,-139.904018715867,0,4.29879184741884,0.895612314742124,0.104387685257876,1
"26",26,-94.9712420562666,NA,NA,NA,NA,NA,NA
"27",27,-139.732738570423,NA,NA,NA,NA,NA,NA
"28",28,-28.423164651175,NA,NA,NA,NA,NA,NA
"29",29,-33.6684093324325,NA,NA,NA,NA,NA,NA
"30",30,-55.7098595342408,NA,NA,NA,NA,NA,NA
"31",31,-15.7511863203075,NA,NA,NA,NA,NA,NA
"32",32,-116.187094468682,-83.0925517262895,0,33.0945427423924,0.999999934895452,6.51045474869888e-08,1
"33",33,-470.328294642743,-467.434005761512,0,2.89428888123052,0.809558571547171,0.190441428452829,1
"34",34,-48.8700211144142,NA,NA,NA,NA,NA,NA
"35",35,-43.0804729840728,NA,NA,NA,NA,NA,NA
"36",36,-35.5471740156083,-29.5928971393864,0,5.95427687622188,0.95153056601563,0.0484694339843695,1
"37",37,-101.404451251862,-86.7422456866832,0,14.6622055651791,0.999345577518764,0.000654422481236126,1
"38",38,-32.4373014893871,-29.0703559350392,0,3.36694555434795,0.843363836635699,0.156636163364301,1
