,ID,A,B,C,D,AIC,chi-squared,r-squared,status
0,1,0.884480740436275,-0.15129601079742575,0.008305151650128463,-0.0001373207675288688,-53.959308984353356,0.0010023383027053792,0.9133289507752841,C
0,2,0.4445699999956545,0.02377833333206103,0.030889999997819384,-0.0011527333183379562,-5.358816489704012,0.3456511030000002,0.9672142895089888,C
0,3,-0.32725892445794835,0.04083025257851615,-0.0007967931870781605,-1.0220603940475546e-06,-87.22230623159113,0.0019137740942828125,0.9449647982089071,C
0,4,-0.3341350350793932,0.04103001639606075,-0.0007776522303596044,-1.910655751845801e-06,-80.01475562537027,0.003685142264570029,0.9013420830649573,C
0,5,-0.6258107071967292,0.0817756602844413,-0.0025881125200466837,2.5263547104904463e-05,-81.1537041668781,0.0013430860054483547,0.9401743427417214,C
0,6,0.29220001468049706,-0.07117381209552853,0.006031428708324463,-0.00011933333559286107,-60.92282877057431,5.157142857142803e-06,0.9999389042295874,C
0,7,0.3274000192056867,-0.0626880985711176,0.0038942858903102786,-6.333333622026906e-05,-52.75521740530274,2.641428571428731e-05,0.9992502161356407,C
0,8,46.79060000014697,-8.575195158758373,0.49017214285638777,-0.007954622105892891,6.679934444537676,4.815060178571449,0.9745145290622625,C
0,9,1.176485656629527,-0.3916981661519071,0.04257499964392411,-0.0008504444398838084,-18.130441900148128,0.16746010714285667,0.9918158739918627,C
0,10,0.0002504026370089923,-2.921870508509158e-05,3.4574765523994675e-06,-6.585643483063646e-08,-118.5130940424151,4.176650595714348e-09,0.9759439176340147,C
0,11,0.0011151388490425883,-0.0001907274276123416,1.1573647777248724e-05,-1.9466030251029768e-07,-123.78234004374946,1.7355111232540547e-09,0.9875983707434032,C
0,12,0.000630100904866488,-8.19442510109066e-05,5.181683222386328e-06,-8.630761292582839e-08,-117.28338165167835,5.12669754032565e-09,0.9143069372426275,C
0,13,-0.00011474100094514495,4.227720786689846e-05,-2.4102240877650953e-06,4.0410953789001355e-08,-140.10427647422998,4.5331733090150095e-09,0.6055946783508583,C
0,14,0.00020557409074204063,-3.3456505431856225e-05,1.9266874970946627e-06,-3.015623587722625e-08,-152.9804293323838,1.4587335373195826e-08,0.4047178389391829,C
0,15,4.692000839880155e-06,-5.076316525271608e-06,1.12871562033688e-06,-2.694007066999982e-08,-129.34746251606032,2.1075472262129566e-08,0.5033698526053528,C
0,16,9.977450283063007e-06,6.055830716264484e-07,2.390300852361357e-07,-7.499805573740697e-09,-173.14642660947865,4.040163767973519e-11,0.9808925081945026,C
0,17,2.2670982479674878e-05,3.61068593619027e-07,2.3374801404285717e-07,-5.906621437026402e-09,-167.52125504036673,9.023941086714472e-11,0.978188016763687,C
0,18,5.582855746373559e-05,7.106488263598901e-07,5.720336700739236e-07,-1.5400822048477148e-08,-149.02763963417883,1.2670052414921443e-09,0.9327367149119316,C
0,19,1.3952058903825553e-05,7.267694814199203e-07,2.053974115497883e-08,9.063715335271025e-10,-215.26981606941865,6.060156646054514e-12,0.9994736454660252,C
0,20,1.1483720292059438e-05,4.440515070349877e-07,7.140040431469926e-08,-1.5675995579397751e-09,-212.47559685243093,8.593559703719772e-12,0.9933976940750113,C
0,21,1.490772221287325e-05,1.8179141277049333e-06,8.164457339475705e-08,1.5934830397958837e-09,-165.28232843635323,1.2425214357410565e-10,0.9985800660728695,C
0,22,3.349754995929735e-06,3.835232596847645e-07,1.8842086995520926e-07,-3.855410649039706e-09,-187.356424301799,5.306171889198174e-12,0.999218065851927,C
0,23,2.2020863977396203e-05,-3.5345491521856597e-06,2.1390835137492896e-07,-2.326671733929202e-09,-172.7960069704813,4.916996367849298e-13,0.9997884072270734,C
0,24,0.0001420290273626401,2.7287212034741678e-05,-5.218690311676779e-07,2.672133827215555e-09,-135.81836785924585,2.3346977106369815e-10,0.9927875826631406,C
0,25,8.666073704000525e-05,3.237397736665592e-05,-8.127912591360509e-07,7.593330984061255e-09,-144.2028105632857,5.7722410285718385e-11,0.9982119278663482,C
0,26,0.0008033683016447807,-0.00014243648637097048,8.256911312918783e-06,-1.3970115291588972e-07,-94.97124205626656,5.688549746887061e-09,0.7934364019333622,C
0,27,7.448713407698243e-05,-1.2583128339207696e-05,7.023070478800847e-07,-1.1239006817882132e-08,-139.73273857042315,7.363213153729088e-13,0.997703581240711,C
0,28,0.5679968613358465,-0.05333292291009276,0.005499983029165943,-8.666644302457232e-05,-28.423164651175043,0.003430000000011592,0.9949903604603441,C
0,29,3.399142384763489,-0.48214279469947113,0.024242854535311623,-0.00033999996534621953,-33.66840933243247,0.0012014285714288114,0.9988582615164892,C
