,ID,A,B,C,D,AIC,BIC,chi-squared
0,1,36806.4109111,-376.817139566,1.28487164373,-0.00145973822091,-30.0313713589,-30.2477307627,0.0305881407536
0,2,-5118.59629425,51.8349742378,-0.175336766643,0.000197723112301,-13.8177716051,-15.3800199554,0.0636652488907
0,3,-36793.5390356,368.184862389,-1.22813161759,0.00136506234613,-21.2572604033,-16.8930905899,5.81922435474
0,4,-30177.4364317,301.416962726,-1.00357882207,0.00111337680001,-32.938372306,-28.5742024925,3.42193899679
0,5,-10315.9049962,102.085204193,-0.337047424333,0.000370800333811,-194.703060119,-187.947542303,0.251906561263
0,6,-1467.36197481,12.4667058334,-0.0345499479477,3.05404303316e-05,-39.1828284158,-40.7450767661,0.000398769193548
0,7,8608.3038021,-89.6909934378,0.310428452866,-0.00035749524644,-30.9185978586,-32.4808462088,0.00208230118206
0,8,17784.3260401,-183.056234857,0.626967603893,-0.000715067549619,-29.394320964,-30.2272830871,0.011788540563
0,9,-6939.36854335,68.0280598895,-0.222927838036,0.000243362335496,-16.1000476191,-16.3164070229,0.22381089632
0,10,1043.51206825,-11.6126113515,0.0420902001782,-5.04458232799e-05,-27.9559698273,-28.7889319504,0.0149820543817
0,11,12445.5310867,-128.000489135,0.437915294621,-0.000498966493902,-22.6033617036,-23.4363238267,0.0365599896785
0,12,4599.2095671,-47.4520349121,0.162476542534,-0.00018522254307,-24.7191573204,-25.5521194435,0.0256956537155
0,13,-6465.2520379,66.5968795766,-0.229049510025,0.000262374843263,-6.33281150604,-7.16577362912,0.550437177428
0,14,21592.1424754,-218.170591533,0.733729231434,-0.000821961850553,-1.61581578491,-1.29804961819,2.4047947781
0,15,-14618.8881674,145.730513757,-0.48450959588,0.000536651660291,-2.74755590894,-3.58051803202,1.00050027617
0,16,9074.66952931,-94.9105562408,0.330163428498,-0.000382490694694,-18.8540331064,-19.0703925101,0.151014367949
0,17,8724.44594637,-90.593984872,0.312886150154,-0.000359871360199,-20.3201001459,-20.5364595497,0.122478663067
0,18,7987.10548482,-83.1354050276,0.287803840504,-0.000331799509846,-14.0550564807,-14.2714158845,0.299748285359
