,FinalID,StandardisedTraitName,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,uniqueID,Temp(kel),1/kT,log_TraitValues,B0,E,Eh,El,Th,Tl
15426,MTD2071,Population Growth Rate,6.71296296296e-07,event / (individual * second),18,celsius,1,291.15,39.8575377315,-14.2140552232,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15427,MTD2071,Population Growth Rate,8.10185185185e-07,event / (individual * second),20,celsius,1,293.15,39.5856118387,-14.0260029917,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15428,MTD2071,Population Growth Rate,1.38888888889e-06,event / (individual * second),23,celsius,1,296.15,39.184609524,-13.487006491,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15429,MTD2071,Population Growth Rate,1.96759259259e-06,event / (individual * second),25,celsius,1,298.15,38.9217578753,-13.1386997967,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15430,MTD2071,Population Growth Rate,1.62037037037e-06,event / (individual * second),28,celsius,1,301.15,38.5340265998,-13.3328558112,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15431,MTD2071,Population Growth Rate,1.15740740741e-06,event / (individual * second),30,celsius,1,303.15,38.2798024427,-13.6693280478,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15432,MTD2071,Population Growth Rate,6.36574074074e-07,event / (individual * second),32,celsius,1,305.15,38.0289107341,-14.2671650485,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15433,MTD2073,Population Growth Rate,4.33217592593e-06,event / (individual * second),0,celsius,2,273.15,42.4840641059,-12.3494406189,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15434,MTD2073,Population Growth Rate,1.70451388889e-05,event / (individual * second),5,celsius,2,278.15,41.7203742963,-10.979645504,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15435,MTD2073,Population Growth Rate,2.54282407407e-05,event / (individual * second),10,celsius,2,283.15,40.9836556967,-10.5796501614,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15436,MTD2073,Population Growth Rate,4.7941e-05,event / (individual * second),15,celsius,2,288.15,40.2725042878,-9.94553946977,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
15437,MTD2073,Population Growth Rate,4.61111111111e-05,event / (individual * second),20,celsius,2,293.15,39.5856118387,-9.98445661507,2.54282407407e-05,-0.836930970118,0.556558993541,-0.418465485059,40.2725042878,38.0289107341
