,FinalID,StandardisedTraitName,StandardisedTraitDef,StandardisedTraitValue,StandardisedErrorPos,StandardisedErrorNeg,ConTemp,ConTempUnit,uniqueID,Temp(kel),1/kT
0,MTD2118,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,7.14417652778e-09,6.13333333333333E-05,6.13333333333333E-05,10.0,celsius,27,283.15,40.9836556967
1,MTD2118,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,1.50483245556e-09,7.73888888888889E-05,7.73888888888889E-05,15.0,celsius,27,288.15,40.2725042878
2,MTD2118,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,4e-09,6.22777777777778E-05,6.22777777777778E-05,20.0,celsius,27,293.15,39.5856118387
3,MTD2118,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,6.34198438889e-09,0.000083,0.000083,25.0,celsius,27,298.15,38.9217578753
4,MTD2118,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,7.14417652778e-09,0.0001349167,0.0001349167,30.0,celsius,27,303.15,38.2798024427
5,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,1.1839556e-07,100,100,16.0,celsius,33,289.15,40.133225352
6,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,3.679862e-08,100,100,18.0,celsius,33,291.15,39.8575377315
7,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,5.119808e-08,100,100,20.0,celsius,33,293.15,39.5856118387
8,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,6.239766e-08,100,100,22.0,celsius,33,295.15,39.3173712028
9,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,6.719748e-08,200,200,24.0,celsius,33,297.15,39.0527414118
10,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,8.639676e-08,600,600,26.0,celsius,33,299.15,38.7916500435
11,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,1.04e-07,400,400,28.0,celsius,33,301.15,38.5340265998
12,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,1.1039586e-07,200,200,30.0,celsius,33,303.15,38.2798024427
13,MTD2143,Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,1.1839556e-07,700,700,32.0,celsius,33,305.15,38.0289107341
14,MTD3138,respiration rate,NA,0.0002408579,NA,NA,18.475464,celsius,192,291.625464,39.7925542967
15,MTD3138,respiration rate,NA,2.363178125e-08,NA,NA,18.528875,celsius,192,291.678875,39.7852676527
16,MTD3138,respiration rate,NA,3.05201875e-08,NA,NA,21.49727,celsius,192,294.64727,39.3844548789
17,MTD3138,respiration rate,NA,3.5322153125e-08,NA,NA,21.496439,celsius,192,294.646439,39.3845659561
18,MTD3138,respiration rate,NA,3.6116421875e-08,NA,NA,24.501667,celsius,192,297.651667,38.9869212811
19,MTD3138,respiration rate,NA,3.8e-08,NA,NA,24.501347,celsius,192,297.651347,38.9869631953
20,MTD3138,respiration rate,NA,3.5581515625e-08,NA,NA,25.539328,celsius,192,298.689328,38.8514788534
21,MTD3138,respiration rate,NA,4.1491621875e-08,NA,NA,25.538303,celsius,192,298.688303,38.8516121789
22,MTD3138,respiration rate,NA,5.68764791667e-08,NA,NA,28.541004,celsius,192,301.691004,38.4649258899
23,MTD3138,respiration rate,NA,5.85386979167e-08,NA,NA,28.540716,celsius,192,301.690716,38.4649626093
24,MTD3138,respiration rate,NA,5.84098385417e-08,NA,NA,31.563993,celsius,192,304.713993,38.0833252726
25,MTD3138,respiration rate,NA,6.69049583333e-08,NA,NA,31.526745,celsius,192,304.676745,38.0879811176
26,MTD3139,respiration rate,NA,7.264494375e-05,NA,NA,18.531883,celsius,193,291.681883,39.784857363
27,MTD3139,respiration rate,NA,7.74770104167e-09,NA,NA,18.49585,celsius,193,291.64585,39.7897728033
28,MTD3139,respiration rate,NA,1.0389871875e-08,NA,NA,21.554426,celsius,193,294.704426,39.376816521
29,MTD3139,respiration rate,NA,1.48221229167e-08,NA,NA,21.535769,celsius,193,294.685769,39.3793095265
30,MTD3139,respiration rate,NA,1.5450203125e-08,NA,NA,25.542816,celsius,193,298.692816,38.8510251633
31,MTD3139,respiration rate,NA,1.71675989583e-08,NA,NA,28.529995,celsius,193,301.679995,38.4663295639
32,MTD3139,respiration rate,NA,2.1e-08,NA,NA,28.511435,celsius,193,301.661435,38.4686962406
33,MTD3139,respiration rate,NA,2.01791510417e-08,NA,NA,31.588507,celsius,193,304.738507,38.0802617456
34,MTD3145,respiration rate,NA,1.86e-07,NA,NA,0.0,celsius,198,273.15,42.4840641059
35,MTD3145,respiration rate,NA,2.33333333333e-08,NA,NA,5.0,celsius,198,278.15,41.7203742963
36,MTD3145,respiration rate,NA,4.66666666667e-08,NA,NA,10.0,celsius,198,283.15,40.9836556967
37,MTD3145,respiration rate,NA,1.21666666667e-07,NA,NA,15.0,celsius,198,288.15,40.2725042878
38,MTD3145,respiration rate,NA,3.83333333333e-07,NA,NA,20.0,celsius,198,293.15,39.5856118387
39,MTD3145,respiration rate,NA,2.66666666667e-07,NA,NA,25.0,celsius,198,298.15,38.9217578753
40,MTD3145,respiration rate,NA,3.66666666667e-07,NA,NA,30.0,celsius,198,303.15,38.2798024427
41,MTD3145,respiration rate,NA,5.16666666667e-07,NA,NA,35.0,celsius,198,308.15,37.6586795733
42,MTD3161,respiration rate,NA,7414.596576,NA,NA,1.0,celsius,213,274.15,42.3290976127
43,MTD3161,respiration rate,NA,1.21035792,NA,NA,5.0,celsius,213,278.15,41.7203742963
44,MTD3161,respiration rate,NA,0.739482528,NA,NA,10.0,celsius,213,283.15,40.9836556967
45,MTD3161,respiration rate,NA,0.74649216,NA,NA,15.0,celsius,213,288.15,40.2725042878
46,MTD3161,respiration rate,NA,1.79866308,NA,NA,20.0,celsius,213,293.15,39.5856118387
47,MTD3161,respiration rate,NA,1.7839212,NA,NA,25.0,celsius,213,298.15,38.9217578753
48,MTD3161,respiration rate,NA,2.40062616,NA,NA,30.0,celsius,213,303.15,38.2798024427
49,MTD3161,respiration rate,NA,2.05961016,NA,NA,35.0,celsius,213,308.15,37.6586795733
50,MTD3164,respiration rate,NA,14397.60096,NA,NA,1.0,celsius,215,274.15,42.3290976127
51,MTD3164,respiration rate,NA,0.864427776,NA,NA,5.0,celsius,215,278.15,41.7203742963
52,MTD3164,respiration rate,NA,0.80661624,NA,NA,10.0,celsius,215,283.15,40.9836556967
53,MTD3164,respiration rate,NA,1.1190156,NA,NA,15.0,celsius,215,288.15,40.2725042878
54,MTD3164,respiration rate,NA,1.60521108,NA,NA,20.0,celsius,215,293.15,39.5856118387
55,MTD3164,respiration rate,NA,2.156878176,NA,NA,25.0,celsius,215,298.15,38.9217578753
56,MTD3164,respiration rate,NA,2.79511824,NA,NA,30.0,celsius,215,303.15,38.2798024427
57,MTD3164,respiration rate,NA,3.9993336,NA,NA,35.0,celsius,215,308.15,37.6586795733
58,MTD3167,respiration rate,NA,16901.02368,NA,NA,1.0,celsius,217,274.15,42.3290976127
59,MTD3167,respiration rate,NA,1.29453636,NA,NA,5.0,celsius,217,278.15,41.7203742963
60,MTD3167,respiration rate,NA,2.07642408,NA,NA,10.0,celsius,217,283.15,40.9836556967
61,MTD3167,respiration rate,NA,2.23582728,NA,NA,15.0,celsius,217,288.15,40.2725042878
62,MTD3167,respiration rate,NA,1.50580296,NA,NA,20.0,celsius,217,293.15,39.5856118387
63,MTD3167,respiration rate,NA,2.57628108,NA,NA,25.0,celsius,217,298.15,38.9217578753
64,MTD3167,respiration rate,NA,2.558200656,NA,NA,30.0,celsius,217,303.15,38.2798024427
65,MTD3167,respiration rate,NA,4.6947288,NA,NA,35.0,celsius,217,308.15,37.6586795733
66,MTD3170,respiration rate,NA,9403.079616,NA,NA,1.0,celsius,220,274.15,42.3290976127
67,MTD3170,respiration rate,NA,2.63368572,NA,NA,5.0,celsius,220,278.15,41.7203742963
68,MTD3170,respiration rate,NA,1.58407752,NA,NA,10.0,celsius,220,283.15,40.9836556967
69,MTD3170,respiration rate,NA,2.71421808,NA,NA,15.0,celsius,220,288.15,40.2725042878
70,MTD3170,respiration rate,NA,2.63338728,NA,NA,20.0,celsius,220,293.15,39.5856118387
71,MTD3170,respiration rate,NA,2.0241324,NA,NA,25.0,celsius,220,298.15,38.9217578753
72,MTD3170,respiration rate,NA,3.63933312,NA,NA,30.0,celsius,220,303.15,38.2798024427
73,MTD3170,respiration rate,NA,2.61196656,NA,NA,35.0,celsius,220,308.15,37.6586795733
74,MTD3173,respiration rate,NA,12767.671008,NA,NA,1.0,celsius,223,274.15,42.3290976127
75,MTD3173,respiration rate,NA,3.11049912,NA,NA,5.0,celsius,223,278.15,41.7203742963
